student_id,test_id,grade,percentage,attempt
91,351,1,19,1
91,352,4,59,1
91,353,3,35,1
91,354,5,74,1
91,355,1,5,2
91,356,5,73,1
91,357,2,28,1
91,358,5,71,1
91,359,2,29,1
91,360,1,10,1
91,361,2,27,1
91,362,2,29,2
91,363,7,83,2
91,364,2,28,1
91,365,1,19,1
91,366,4,57,1
91,367,8,91,1
91,368,1,8,1
91,369,3,35,1
91,370,1,6,1
91,371,3,38,1
91,372,4,62,1
91,373,7,83,1
91,374,5,70,2
91,375,8,92,1
91,376,3,35,2
91,377,2,23,1
91,378,4,53,1
91,379,3,39,1
91,380,3,45,1
91,381,7,85,1
91,382,6,81,1
91,383,1,16,1
91,384,2,29,1
91,385,1,18,1
91,386,1,11,1
91,387,4,58,1
91,388,2,27,1
91,389,2,27,1
91,390,2,30,1
91,391,6,81,1
91,392,3,48,1
91,393,4,60,1
91,394,7,84,1
91,395,9,94,1
91,396,3,40,1
91,397,3,48,1
91,398,2,34,1
91,399,8,92,1
91,400,1,19,1
92,351,1,11,1
92,352,8,90,1
92,353,6,79,2
92,354,6,78,1
92,355,4,55,2
92,356,6,76,1
92,357,4,64,1
92,358,2,28,2
92,359,2,28,2
92,360,3,42,1
92,361,5,65,1
92,362,2,28,1
92,363,3,40,1
92,364,3,37,1
92,365,3,46,1
92,366,1,16,1
92,367,2,31,1
92,368,3,36,1
92,369,7,85,1
92,370,1,16,2
92,371,10,98,2
92,372,10,99,2
92,373,6,79,1
92,374,6,79,1
92,375,1,15,1
92,376,5,65,2
92,377,4,56,1
92,378,3,35,1
92,379,1,2,1
92,380,1,12,1
92,381,2,21,1
92,382,8,90,2
92,383,2,24,1
92,384,6,81,2
92,385,3,39,1
92,386,1,8,1
92,387,4,54,2
92,388,4,60,1
92,389,5,73,1
92,390,8,92,2
92,391,10,98,1
92,392,2,20,1
92,393,5,74,1
92,394,2,25,1
92,395,3,49,1
92,396,1,17,1
92,397,6,77,1
92,398,7,88,1
92,399,2,32,2
92,400,3,39,1
93,351,1,9,1
93,352,5,67,1
93,353,1,17,1
93,354,6,77,1
93,355,5,67,1
93,356,6,80,2
93,357,1,11,2
93,358,2,31,1
93,359,1,11,1
93,360,7,86,2
93,361,1,6,1
93,362,7,86,1
93,363,3,38,1
93,364,3,43,1
93,365,1,15,1
93,366,4,59,1
93,367,1,8,1
93,368,4,56,1
93,369,5,69,1
93,370,1,12,1
93,371,3,48,1
93,372,3,36,1
93,373,8,90,1
93,374,9,97,1
93,375,4,63,1
93,376,3,49,1
93,377,7,85,2
93,378,10,98,1
93,379,2,23,1
93,380,7,83,1
93,381,1,9,1
93,382,1,19,2
93,383,7,88,1
93,384,4,63,1
93,385,4,62,1
93,386,2,24,1
93,387,6,78,1
93,388,8,90,1
93,389,1,18,1
93,390,2,32,1
93,391,3,46,1
93,392,7,86,2
93,393,4,61,1
93,394,4,58,1
93,395,1,2,1
93,396,4,57,1
93,397,5,67,1
93,398,1,2,2
93,399,4,51,2
93,400,1,17,2
94,351,6,76,1
94,352,1,14,1
94,353,3,40,2
94,354,5,65,1
94,355,7,83,1
94,356,1,3,1
94,357,3,46,2
94,358,1,18,1
94,359,2,31,1
94,360,2,25,1
94,361,4,51,1
94,362,1,18,1
94,363,1,4,1
94,364,1,13,1
94,365,5,68,1
94,366,2,30,1
94,367,1,10,1
94,368,4,62,1
94,369,6,80,1
94,370,1,10,1
94,371,4,52,1
94,372,7,88,1
94,373,7,84,1
94,374,3,46,1
94,375,4,63,1
94,376,7,83,1
94,377,2,28,1
94,378,6,75,2
94,379,1,4,1
94,380,5,66,2
94,381,3,42,1
94,382,4,56,1
94,383,7,87,2
94,384,6,76,1
94,385,1,4,1
94,386,3,37,1
94,387,1,19,1
94,388,1,4,2
94,389,7,86,1
94,390,7,85,1
94,391,8,92,1
94,392,10,99,1
94,393,7,83,1
94,394,3,45,1
94,395,5,67,1
94,396,7,84,1
94,397,2,33,1
94,398,3,39,1
94,399,5,71,1
94,400,2,34,1
95,351,3,39,1
95,352,1,4,1
95,353,9,94,1
95,354,4,50,1
95,355,1,3,1
95,356,7,88,1
95,357,2,25,1
95,358,1,8,1
95,359,8,89,2
95,360,1,10,1
95,361,1,10,1
95,362,5,65,1
95,363,5,73,1
95,364,4,59,1
95,365,2,28,1
95,366,2,27,1
95,367,4,61,1
95,368,1,11,2
95,369,1,19,1
95,370,1,15,2
95,371,3,47,1
95,372,1,5,1
95,373,1,3,1
95,374,3,38,1
95,375,3,40,2
95,376,2,30,1
95,377,4,63,1
95,378,3,43,1
95,379,7,85,1
95,380,1,18,1
95,381,3,45,1
95,382,5,67,1
95,383,4,64,1
95,384,4,62,2
95,385,2,28,1
95,386,6,75,1
95,387,4,58,1
95,388,3,40,1
95,389,1,13,1
95,390,1,6,1
95,391,1,18,1
95,392,4,60,1
95,393,4,54,2
95,394,2,31,1
95,395,6,82,1
95,396,4,59,1
95,397,5,71,1
95,398,1,13,1
95,399,3,43,1
95,400,7,85,2
96,351,5,68,1
96,352,4,64,1
96,353,5,70,1
96,354,7,88,2
96,355,1,11,2
96,356,1,13,1
96,357,2,28,1
96,358,4,56,2
96,359,8,90,2
96,360,2,24,1
96,361,1,5,1
96,362,1,2,1
96,363,2,34,1
96,364,6,78,1
96,365,6,77,2
96,366,6,79,1
96,367,9,94,1
96,368,2,24,2
96,369,8,93,1
96,370,1,7,1
96,371,2,27,1
96,372,3,45,2
96,373,4,63,1
96,374,4,57,1
96,375,2,33,1
96,376,6,79,1
96,377,1,9,2
96,378,2,28,2
96,379,9,95,1
96,380,7,84,1
96,381,7,85,1
96,382,5,68,2
96,383,1,10,1
96,384,7,83,1
96,385,3,48,1
96,386,4,52,1
96,387,1,19,1
96,388,9,97,2
96,389,9,95,1
96,390,5,71,1
96,391,3,44,1
96,392,1,1,1
96,393,2,32,1
96,394,6,79,2
